hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,Booking Agent,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,required_car_parking_spaces,reservation_status
Resort Hotel,0,342,2015,July,1,0,0,2,0,0,BB,PRT,Direct,0,0,0,C,C,3,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,737,2015,July,1,0,0,2,0,0,BB,PRT,Direct,0,0,0,C,C,4,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,7,2015,July,1,0,1,1,0,0,BB,GBR,Direct,0,0,0,A,C,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,13,2015,July,1,0,1,1,0,0,BB,GBR,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,14,2015,July,1,0,2,2,0,0,BB,GBR,Online TA,0,0,0,A,A,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,14,2015,July,1,0,2,2,0,0,BB,GBR,Online TA,0,0,0,A,A,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,0,2015,July,1,0,2,2,0,0,BB,PRT,Direct,0,0,0,C,C,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,9,2015,July,1,0,2,2,0,0,FB,PRT,Direct,0,0,0,C,C,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,85,2015,July,1,0,3,2,0,0,BB,PRT,Online TA,0,0,0,A,A,0,No Deposit,0,Transient,0,Canceled
Resort Hotel,1,75,2015,July,1,0,3,2,0,0,HB,PRT,Offline TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,0,Canceled
Resort Hotel,1,23,2015,July,1,0,4,2,0,0,BB,PRT,Online TA,0,0,0,E,E,0,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,35,2015,July,1,0,4,2,0,0,HB,PRT,Online TA,0,0,0,D,D,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,68,2015,July,1,0,4,2,0,0,BB,USA,Online TA,0,0,0,D,E,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,18,2015,July,1,0,4,2,1,0,HB,ESP,Online TA,0,0,0,G,G,1,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,37,2015,July,1,0,4,2,0,0,BB,PRT,Online TA,0,0,0,E,E,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,68,2015,July,1,0,4,2,0,0,BB,IRL,Online TA,0,0,0,D,E,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,37,2015,July,1,0,4,2,0,0,BB,PRT,Offline TA/TO,0,0,0,E,E,0,No Deposit,0,Contract,0,Check-Out
Resort Hotel,0,12,2015,July,1,0,1,2,0,0,BB,IRL,Online TA,0,0,0,A,E,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,0,2015,July,1,0,1,2,0,0,BB,FRA,Corporate,0,0,0,A,G,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,7,2015,July,1,0,4,2,0,0,BB,GBR,Direct,0,0,0,G,G,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,37,2015,July,1,1,4,1,0,0,BB,GBR,Online TA,0,0,0,F,F,0,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,72,2015,July,1,2,4,2,0,0,BB,PRT,Direct,0,0,0,A,A,1,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,72,2015,July,1,2,4,2,0,0,BB,PRT,Direct,0,0,0,A,A,1,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,72,2015,July,1,2,4,2,0,0,BB,PRT,Direct,0,0,0,D,D,1,No Deposit,0,Transient,0,Check-Out
